
Table Name	   Occurrences	Sheet/Context	Content                                                                                                                                                                                     Consistency	Notes
Stru-ID-data	2	        1. Initial section (Field details), 2. Near "MD Path sheet" section	Consistent: Both have same fields (ID, Name, surname, aadhar, etc.) and sizes (20, 20, 20, 16, etc.)	                                No significant changes in structure.
Stru-Today	    6	        1. Initial section, 2. "Rerun" section, 3. "technician" section, 4. "Report generation" section, etc.	Consistent: Same structure (ID, date, time, analyser1, test1, res1, etc.) across all occurrences	Repeated with identical fields and sizes (20, 8, 8, 3, etc.).
Stru-ID-Res	    4	        1. Initial section, 2. "MD Path sheet", 3. "Rerun" section, 4. "Report generation"	Consistent: Same fields (ID, date, time, package, test, result, etc.) and sizes (20, 8, 8, 10, etc.)	                No structural changes observed.
Stru-Profile	3	        1. Initial section, 2. "Profile entry" section, 3. "Report generation"	Consistent: Same fields (prof, No. tests, test1, test2, etc.) and sizes (15, 2, 15, 15, etc.)	                                    Identical structure across mentions.
Stru-test	    6	        1. Initial section, 2. "Purchase" section, 3. "Control analysis" section, etc.	Consistent: Same fields (Group, unique testsname, company name, etc.) and sizes (15, 15, 15, etc.)	                        Repeated with no significant structural changes.
Stru-Package	2	        1. Initial section, 2. "Package entry" section	Consistent: Same fields (Package, No. tests, test1, test2, etc.) and sizes (15, 2, 15, 15, etc.)	                                                        Identical structure in both occurrences.
Stru-purchase	5	        1. Initial section, 2. "Purchase" section, 3. "Stock" section, etc.	Mostly consistent: Core fields (unique testsname, company name, price, etc.) same; slight size variation	                            One instance has an extra "No. of test" field (size 8 vs. 3).
Stru-consume	3	        1. Initial section, 2. "Stock" section, 3. "Tally" section	Consistent: Same fields (Date, test name, company, no.of tests/day) and types (date, alpha, alpha, number)	                                    No structural changes.
Stru-depart	    2	        1. "Department entry" section, 2. "analyser library" section	Consistent: Same fields (Depart name, Mobile no, HOD name, etc.) and sizes (20, 12, 20, 2, etc.)	                                        Identical structure.
Stru-analyser	2	        1. "analyser library" section, 2. "Department entry" section	Consistent: Same fields (analyser, company, Interface, etc.) and sizes (20, 20, 8, 5, etc.)	                                                No changes in structure.
Stru-unit	    1	        1. "Unit entry" section	N/A (Single occurrence)	Only appears once, no repetition to compare.
Stru-remark	    1	        1. "remark entry" section	N/A (Single occurrence)	Only appears once, no repetition to compare.
Stru-cntrl	    2	        1. "Control analysis" section, 2. "analyser library" section	Consistent: Same fields (date, analysers, testname, etc.) and sizes (15, 8, 8, etc.)	                                                    Identical structure.
Stru-cntr-res	2	        1. "Control analysis" section, 2. "analyser library" section	Consistent: Same fields (date, analyser, test, controlname, etc.) and sizes (8, 15, 15, etc.)	                                            No structural changes.
Stru-ref	    1	        1. Initial section (mentioned in comments)	N/A (Single occurrence)	Only referenced once, no full definition provided.
Stru-Mobile	    1	        1. Initial section (mentioned in comments)	N/A (Single occurrence)	Only referenced once, no full definition provided.
Stru-Group	    1	        1. Initial section (mentioned in search list)	N/A (Single occurrence)	Only referenced once, no full definition provided.
Stru-workprof	1	        1. Initial section (mentioned in comments)	N/A (Single occurrence)	Only referenced once, no full definition provided. 
